method,classifier,C,gamma,seed,fold,OA,macro_F1,kappa
USP,svm,100.000000,scale,42,2,0.923077,0.928781,0.903941
USP,rbf_svm,0.100000,0.001,42,2,0.076923,0.023810,0.000000
USP,rbf_svm,0.100000,0.01,42,2,0.461538,0.336335,0.374332
USP,rbf_svm,0.100000,0.1,42,2,0.897436,0.884848,0.872131
USP,rbf_svm,0.100000,1,42,2,0.435897,0.445820,0.346037
USP,rbf_svm,0.100000,10,42,2,0.076923,0.023810,0.000000
USP,rbf_svm,1.000000,0.001,42,2,0.358974,0.211538,0.241835
USP,rbf_svm,1.000000,0.01,42,2,0.923077,0.900132,0.903941
USP,rbf_svm,1.000000,0.1,42,2,0.923077,0.911436,0.903465
USP,rbf_svm,1.000000,1,42,2,0.820513,0.826162,0.770395
USP,rbf_svm,1.000000,10,42,2,0.435897,0.208995,0.236655
USP,rbf_svm,10.000000,0.001,42,2,0.897436,0.877513,0.872445
USP,rbf_svm,10.000000,0.01,42,2,0.948718,0.934085,0.936118
USP,rbf_svm,10.000000,0.1,42,2,0.923077,0.928658,0.902905
USP,rbf_svm,10.000000,1,42,2,0.820513,0.826162,0.770395
USP,rbf_svm,10.000000,10,42,2,0.461538,0.221652,0.270703
USP,rbf_svm,100.000000,0.001,42,2,0.948718,0.934085,0.936118
USP,rbf_svm,100.000000,0.01,42,2,0.923077,0.928781,0.903941
USP,rbf_svm,100.000000,0.1,42,2,0.923077,0.928658,0.902905
USP,rbf_svm,100.000000,1,42,2,0.820513,0.826162,0.770395
USP,rbf_svm,100.000000,10,42,2,0.461538,0.221652,0.270703
SNV,svm,0.010000,scale,42,2,0.923077,0.918254,0.904334
SNV,svm,0.100000,scale,42,2,0.923077,0.927249,0.904955
SNV,svm,1.000000,scale,42,2,0.948718,0.955514,0.936327
SNV,svm,10.000000,scale,42,2,0.948718,0.955514,0.936327
SNV,svm,100.000000,scale,42,2,0.948718,0.955514,0.936327
SNV,rbf_svm,0.100000,0.001,42,2,0.076923,0.023810,0.000000
SNV,rbf_svm,0.100000,0.01,42,2,0.076923,0.023810,0.000000
SNV,rbf_svm,0.100000,0.1,42,2,0.512821,0.569762,0.445774
SNV,rbf_svm,0.100000,1,42,2,0.076923,0.023810,0.000000
SNV,rbf_svm,0.100000,10,42,2,0.076923,0.023810,0.000000
SNV,rbf_svm,1.000000,0.001,42,2,0.256410,0.068027,0.000000
SNV,rbf_svm,1.000000,0.01,42,2,0.923077,0.934848,0.903624
SNV,rbf_svm,1.000000,0.1,42,2,0.897436,0.914174,0.870000
SNV,rbf_svm,1.000000,1,42,2,0.615385,0.497836,0.485035
SNV,rbf_svm,1.000000,10,42,2,0.307692,0.105133,0.036597
SNV,rbf_svm,10.000000,0.001,42,2,0.923077,0.918254,0.904334
SNV,rbf_svm,10.000000,0.01,42,2,0.948718,0.960925,0.936013
