condition,seed,fold,method,classifier,OA,macro_F1,kappa
Foamy,45,3,A_log (log+USP),svm,0.918367,0.951323,0.894168
Foamy,45,3,A2 (SNV-Pre),svm,0.877551,0.871252,0.844032
Foamy,45,4,A (USP),svm,0.897959,0.724359,0.866848
Foamy,45,4,A_log (log+USP),svm,0.897959,0.730364,0.865900
Foamy,45,4,A2 (SNV-Pre),svm,0.877551,0.728148,0.840477
Foamy,46,0,A (USP),svm,0.920000,0.868827,0.896907
Foamy,46,0,A_log (log+USP),svm,0.940000,0.893563,0.922601
Foamy,46,0,A2 (SNV-Pre),svm,0.800000,0.737974,0.751244
Foamy,46,1,A (USP),svm,0.959184,0.803663,0.946448
Foamy,46,1,A_log (log+USP),svm,0.938776,0.953088,0.920282
Foamy,46,1,A2 (SNV-Pre),svm,0.918367,0.787731,0.892485
Foamy,46,2,A (USP),svm,0.938776,0.798686,0.919097
Foamy,46,2,A_log (log+USP),svm,0.918367,0.787575,0.892130
Foamy,46,2,A2 (SNV-Pre),svm,0.816327,0.718981,0.762776
Foamy,46,3,A (USP),svm,0.918367,0.905483,0.894168
Foamy,46,3,A_log (log+USP),svm,0.918367,0.905483,0.894168
Foamy,46,3,A2 (SNV-Pre),svm,0.897959,0.864571,0.868350
Foamy,46,4,A (USP),svm,0.938776,0.949544,0.921180
Foamy,46,4,A_log (log+USP),svm,0.979592,0.987654,0.973811
Foamy,46,4,A2 (SNV-Pre),svm,0.897959,0.889610,0.870507
