ratio,method,ID_mean,ID_std,OOD-Turbid_mean,OOD-Turbid_std,OOD-Foamy_mean,OOD-Foamy_std,ID-IllumShift_mean,ID-IllumShift_std,ID-SensorDrift_mean,ID-SensorDrift_std,ID-BandShift_mean,ID-BandShift_std,OOD-IllumShift_mean,OOD-IllumShift_std,OOD-SensorDrift_mean,OOD-SensorDrift_std,OOD-BandShift_mean,OOD-BandShift_std
0.1,A2: Global TruncSVD (SNV-Pre),0.8385425101214575,0.08265800031017591,0.8767154105736783,0.03122906047389406,0.7894367346938777,0.05705195880120405,0.8354385964912281,0.08081484102086275,0.3482860998650472,0.18122567121141986,0.5004588394062078,0.12537702748135154,0.8748156480439946,0.03079360846085826,0.3495563054618173,0.14272359541633983,0.5734583177102862,0.11082260074549057
0.1,"A3*: Global TruncSVD (MSC-Pre, Centered)",0.7556275303643725,0.07662202059123044,0.86368703912011,0.03489182253783363,0.7836734693877552,0.058110490438358295,0.7556275303643725,0.07662202059123044,0.302753036437247,0.15689706761624606,0.42072874493927126,0.11089744445087629,0.86368703912011,0.03489182253783363,0.315965504311961,0.10003359832403765,0.5277615298087739,0.12051078902509146
0.1,A3: Global TruncSVD (MSC-Pre),0.7587314439946019,0.08479504123112655,0.8532358455193101,0.033375656228381595,0.7886204081632653,0.055197991541044406,0.7587314439946019,0.08479504123112655,0.28205128205128205,0.13357412656460815,0.4481241565452092,0.11893152335356814,0.8532358455193101,0.033375656228381595,0.34873140857392826,0.11189363772834035,0.554450693663292,0.1111397302301573
0.1,A: Global TruncSVD,0.903697705802969,0.05736766548994177,0.9001824771903512,0.03563182676485671,0.8529469387755103,0.05822308893832344,0.8974628879892037,0.05887724633086369,0.6344399460188934,0.14265022902014243,0.8786774628879893,0.05299008778954263,0.8992325959255093,0.03596581140031029,0.6551006124234471,0.09901033509187468,0.8735208098987627,0.0336335476094587
0.1,A_L2: L2 row norm (no SNV),0.8953306342780027,0.05370569079079774,0.883992000999875,0.04413724322804818,0.8309551020408164,0.052074376267146824,0.8901484480431848,0.051400294582404686,0.3388663967611336,0.11418454911327552,0.5814844804318489,0.14964251274616883,0.8827246594175727,0.043971070529711734,0.31516560429946255,0.10799601330517639,0.5062117235345582,0.14019918330912087
0.1,A_drop1: Drop PC1 (PC2–PC20),0.9059649122807018,0.06008173604385468,0.8776827896512935,0.04194727625556087,0.8374367346938776,0.0543294949026959,0.8997300944669365,0.06215859332739741,0.5743859649122807,0.1614883021310819,0.8466936572199729,0.0719944867387268,0.8757830271216097,0.04210668877273667,0.604339457567804,0.10158179864533856,0.817705286839145,0.05358075016493184
0.1,A_drop1_scale: Drop PC1 + Scale (no SNV),0.7451821862348179,0.07478773179942694,0.7248868891388577,0.04445545814812708,0.6991510204081632,0.07430841022809012,0.7120917678812415,0.0734844147051727,0.22923076923076924,0.09899702239658194,0.39398110661268554,0.11886929710707363,0.7004824396950382,0.047729085925742376,0.20537182852143482,0.08358550365220437,0.3046344206974128,0.09709466460439672
0.1,F: PLS-DA,0.7708771929824562,0.058203703460284605,0.7670341207349081,0.049602696215783997,0.758661224489796,0.062446036122885976,0.7656950067476384,0.05361764729414807,0.36053981106612687,0.07279628139936833,0.7585964912280702,0.06611517243271754,0.7663967004124485,0.04877771624576745,0.4031721034870641,0.06973538397001837,0.7635620547431572,0.05050900969874523
0.15,A*: Global TruncSVD (Centered),0.7919838056680162,0.06979798311768387,0.7603974503187102,0.035946022143977935,0.7308734693877551,0.08782404189706904,0.7495006747638326,0.07662934900012704,0.727719298245614,0.10119360256553808,0.7796221322537111,0.07019300837183386,0.7264716910386201,0.0442532804333207,0.709976252968379,0.06119876130289419,0.7515360579927508,0.039829280503689564
0.15,"A2*: Global TruncSVD (SNV-Pre, Centered)",0.8508232118758434,0.06696979199396881,0.8979252593425823,0.032971643003794605,0.8277224489795918,0.04459653301131358,0.849770580296896,0.06469553146486039,0.31821862348178137,0.1734220720424194,0.5337112010796221,0.14172068380908387,0.8960254968128984,0.032646980318101496,0.347114110736158,0.1094500017255777,0.6255593050868642,0.11781973528477832
