seed,fold,ratio,method,classifier,condition,OA,macro_F1,kappa
43,0,1.000000,Detrend,rbf_svm,Normal,0.769231,0.715583,0.700256
43,0,1.000000,Detrend,rbf_svm,BandShift,0.282051,0.176898,0.122186
43,1,1.000000,USP,svm,Normal,0.948718,0.955320,0.936275
43,1,1.000000,USP,svm,BandShift,0.948718,0.955320,0.936275
43,1,1.000000,USP,rbf_svm,Normal,0.923077,0.932947,0.904801
43,1,1.000000,USP,rbf_svm,BandShift,0.897436,0.888930,0.872861
43,1,1.000000,SNV,svm,Normal,0.948718,0.963256,0.935961
43,1,1.000000,SNV,svm,BandShift,0.846154,0.845635,0.810680
43,1,1.000000,SNV,rbf_svm,Normal,0.897436,0.917074,0.871074
43,1,1.000000,SNV,rbf_svm,BandShift,0.410256,0.272367,0.200535
43,1,1.000000,SG1,svm,Normal,0.743590,0.734578,0.679276
43,1,1.000000,SG1,svm,BandShift,0.230769,0.062500,-0.057866
43,1,1.000000,SG1,rbf_svm,Normal,0.666667,0.666097,0.579602
43,1,1.000000,SG1,rbf_svm,BandShift,0.153846,0.067460,0.021293
43,1,1.000000,EMSC,svm,Normal,0.948718,0.960245,0.936066
43,1,1.000000,EMSC,svm,BandShift,0.743590,0.684314,0.684721
43,1,1.000000,EMSC,rbf_svm,Normal,0.923077,0.932859,0.903386
43,1,1.000000,EMSC,rbf_svm,BandShift,0.589744,0.507143,0.459740
43,1,1.000000,Detrend,svm,Normal,0.794872,0.780255,0.746959
43,1,1.000000,Detrend,svm,BandShift,0.358974,0.164164,0.158758
43,1,1.000000,Detrend,rbf_svm,Normal,0.717949,0.707588,0.646040
43,1,1.000000,Detrend,rbf_svm,BandShift,0.358974,0.282066,0.259119
43,2,1.000000,USP,svm,Normal,0.974359,0.957672,0.967928
43,2,1.000000,USP,svm,BandShift,0.974359,0.957672,0.967928
43,2,1.000000,USP,rbf_svm,Normal,0.974359,0.957672,0.967928
43,2,1.000000,USP,rbf_svm,BandShift,0.974359,0.957672,0.967928
43,2,1.000000,SNV,svm,Normal,0.974359,0.973545,0.967742
43,2,1.000000,SNV,svm,BandShift,0.769231,0.725618,0.714169
43,2,1.000000,SNV,rbf_svm,Normal,0.974359,0.974235,0.967715
43,2,1.000000,SNV,rbf_svm,BandShift,0.358974,0.203014,0.121622
43,2,1.000000,SG1,svm,Normal,0.923077,0.921600,0.903065
43,2,1.000000,SG1,svm,BandShift,0.282051,0.073333,0.000000
43,2,1.000000,SG1,rbf_svm,Normal,0.897436,0.888316,0.870647
43,2,1.000000,SG1,rbf_svm,BandShift,0.205128,0.112079,0.075688
43,2,1.000000,EMSC,svm,Normal,1.000000,1.000000,1.000000
43,2,1.000000,EMSC,svm,BandShift,0.794872,0.709921,0.742998
43,2,1.000000,EMSC,rbf_svm,Normal,0.974359,0.968254,0.968085
43,2,1.000000,EMSC,rbf_svm,BandShift,0.846154,0.739316,0.802698
43,2,1.000000,Detrend,svm,Normal,0.948718,0.937828,0.935537
43,2,1.000000,Detrend,svm,BandShift,0.307692,0.161348,0.054758
43,2,1.000000,Detrend,rbf_svm,Normal,0.948718,0.926587,0.935590
43,2,1.000000,Detrend,rbf_svm,BandShift,0.358974,0.216497,0.228029
43,3,1.000000,USP,svm,Normal,0.973684,0.978408,0.966957
43,3,1.000000,USP,svm,BandShift,0.921053,0.937255,0.901554
43,3,1.000000,USP,rbf_svm,Normal,0.921053,0.937255,0.901554
43,3,1.000000,USP,rbf_svm,BandShift,0.921053,0.937255,0.901554
43,3,1.000000,SNV,svm,Normal,0.921053,0.941938,0.901299
43,3,1.000000,SNV,svm,BandShift,0.578947,0.455089,0.479452
43,3,1.000000,SNV,rbf_svm,Normal,0.947368,0.961415,0.933856
43,3,1.000000,SNV,rbf_svm,BandShift,0.342105,0.189125,0.086538
43,3,1.000000,SG1,svm,Normal,0.868421,0.842593,0.833916
43,3,1.000000,SG1,svm,BandShift,0.263158,0.069444,-0.036027
43,3,1.000000,SG1,rbf_svm,Normal,0.868421,0.899022,0.833916
43,3,1.000000,SG1,rbf_svm,BandShift,0.210526,0.123977,0.098101
43,3,1.000000,EMSC,svm,Normal,0.842105,0.868970,0.805627
43,3,1.000000,EMSC,svm,BandShift,0.684211,0.738624,0.613559
43,3,1.000000,EMSC,rbf_svm,Normal,0.815789,0.821212,0.773617
