condition,method,repeat,seed,preprocess,variant,classifier,OA,macro_F1,kappa
Normal,SG1,3,45,SG1,A2_noPostSNV,rf,0.750000,0.496732,0.428571
BandShift,SG1,3,45,SG1,A2_noPostSNV,rf,0.750000,0.541176,0.446154
Normal,EMSC,3,45,EMSC,A2_noPostSNV,svm,0.666667,0.472222,0.314286
BandShift,EMSC,3,45,EMSC,A2_noPostSNV,svm,0.416667,0.474074,0.263158
Normal,EMSC,3,45,EMSC,A2_noPostSNV,rbf_svm,0.666667,0.392593,0.172414
BandShift,EMSC,3,45,EMSC,A2_noPostSNV,rbf_svm,0.666667,0.266667,0.000000
Normal,EMSC,3,45,EMSC,A2_noPostSNV,rf,0.833333,0.562963,0.586207
BandShift,EMSC,3,45,EMSC,A2_noPostSNV,rf,0.750000,0.496732,0.428571
Normal,Detrend,3,45,Detrend,A2_noPostSNV,svm,0.750000,0.496732,0.428571
BandShift,Detrend,3,45,Detrend,A2_noPostSNV,svm,0.250000,0.264550,0.129032
Normal,Detrend,3,45,Detrend,A2_noPostSNV,rbf_svm,0.833333,0.535948,0.619048
BandShift,Detrend,3,45,Detrend,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,Detrend,3,45,Detrend,A2_noPostSNV,rf,0.833333,0.562963,0.586207
BandShift,Detrend,3,45,Detrend,A2_noPostSNV,rf,0.666667,0.634188,0.483871
Normal,USP,4,46,none,A_postSNV,svm,0.916667,0.913725,0.815385
BandShift,USP,4,46,none,A_postSNV,svm,0.833333,0.796296,0.600000
Normal,USP,4,46,none,A_postSNV,rbf_svm,0.916667,0.913725,0.815385
BandShift,USP,4,46,none,A_postSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,USP,4,46,none,A_postSNV,rf,0.833333,0.847222,0.657143
BandShift,USP,4,46,none,A_postSNV,rf,0.750000,0.447368,0.320755
Normal,SNV,4,46,SNV,A2_noPostSNV,svm,0.750000,0.741176,0.446154
BandShift,SNV,4,46,SNV,A2_noPostSNV,svm,0.333333,0.216931,0.067961
Normal,SNV,4,46,SNV,A2_noPostSNV,rbf_svm,0.583333,0.386243,0.230769
BandShift,SNV,4,46,SNV,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,SNV,4,46,SNV,A2_noPostSNV,rf,0.750000,0.447368,0.320755
BandShift,SNV,4,46,SNV,A2_noPostSNV,rf,0.750000,0.711111,0.532468
Normal,SG1,4,46,SG1,A2_noPostSNV,svm,0.750000,0.647222,0.500000
BandShift,SG1,4,46,SG1,A2_noPostSNV,svm,0.333333,0.255892,0.119266
Normal,SG1,4,46,SG1,A2_noPostSNV,rbf_svm,0.583333,0.386243,0.230769
BandShift,SG1,4,46,SG1,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,SG1,4,46,SG1,A2_noPostSNV,rf,0.750000,0.447368,0.320755
BandShift,SG1,4,46,SG1,A2_noPostSNV,rf,0.750000,0.447368,0.320755
Normal,EMSC,4,46,EMSC,A2_noPostSNV,svm,0.833333,0.869048,0.700000
BandShift,EMSC,4,46,EMSC,A2_noPostSNV,svm,0.250000,0.200000,0.084746
Normal,EMSC,4,46,EMSC,A2_noPostSNV,rbf_svm,0.916667,0.647059,0.809524
BandShift,EMSC,4,46,EMSC,A2_noPostSNV,rbf_svm,0.666667,0.266667,0.000000
Normal,EMSC,4,46,EMSC,A2_noPostSNV,rf,0.750000,0.447368,0.320755
BandShift,EMSC,4,46,EMSC,A2_noPostSNV,rf,0.750000,0.447368,0.320755
Normal,Detrend,4,46,Detrend,A2_noPostSNV,svm,0.750000,0.741176,0.446154
BandShift,Detrend,4,46,Detrend,A2_noPostSNV,svm,0.416667,0.287179,-0.012048
Normal,Detrend,4,46,Detrend,A2_noPostSNV,rbf_svm,0.833333,0.561111,0.671233
BandShift,Detrend,4,46,Detrend,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,Detrend,4,46,Detrend,A2_noPostSNV,rf,0.833333,0.796296,0.600000
BandShift,Detrend,4,46,Detrend,A2_noPostSNV,rf,0.833333,0.562963,0.586207
Normal,USP,5,47,none,A_postSNV,svm,0.916667,0.619048,0.823529
BandShift,USP,5,47,none,A_postSNV,svm,0.916667,0.619048,0.823529
Normal,USP,5,47,none,A_postSNV,rbf_svm,0.916667,0.619048,0.823529
BandShift,USP,5,47,none,A_postSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,USP,5,47,none,A_postSNV,rf,0.666667,0.385621,0.238095
BandShift,USP,5,47,none,A_postSNV,rf,0.750000,0.429630,0.379310
Normal,SNV,5,47,SNV,A2_noPostSNV,svm,0.833333,0.535948,0.619048
BandShift,SNV,5,47,SNV,A2_noPostSNV,svm,0.250000,0.133333,0.000000
Normal,SNV,5,47,SNV,A2_noPostSNV,rbf_svm,0.750000,0.507937,0.538462
