phase,condition,method,repeat,seed,fold,preprocess,variant,classifier,OA,macro_F1,kappa
1,Pooled+BandShift,EMSC,3,42,3.000000,EMSC,A2_noPostSNV,svm,0.545455,0.536893,0.455108
1,Pooled,EMSC,3,42,3.000000,EMSC,A2_noPostSNV,rbf_svm,0.613636,0.594912,0.534536
1,Pooled+BandShift,EMSC,3,42,3.000000,EMSC,A2_noPostSNV,rbf_svm,0.545455,0.538034,0.453076
1,Pooled,Detrend,3,42,3.000000,Detrend,A2_noPostSNV,svm,0.795455,0.784987,0.754495
1,Pooled+BandShift,Detrend,3,42,3.000000,Detrend,A2_noPostSNV,svm,0.659091,0.650737,0.589552
1,Pooled,Detrend,3,42,3.000000,Detrend,A2_noPostSNV,rbf_svm,0.659091,0.643849,0.590062
1,Pooled+BandShift,Detrend,3,42,3.000000,Detrend,A2_noPostSNV,rbf_svm,0.636364,0.624140,0.563817
1,Pooled,USP,4,42,4.000000,none,A_postSNV,svm,0.727273,0.746281,0.673469
1,Pooled+BandShift,USP,4,42,4.000000,none,A_postSNV,svm,0.636364,0.660952,0.563546
1,Pooled,USP,4,42,4.000000,none,A_postSNV,rbf_svm,0.500000,0.540361,0.399504
1,Pooled+BandShift,USP,4,42,4.000000,none,A_postSNV,rbf_svm,0.500000,0.547382,0.399131
1,Pooled,SNV,4,42,4.000000,SNV,A2_noPostSNV,svm,0.681818,0.706774,0.619048
1,Pooled+BandShift,SNV,4,42,4.000000,SNV,A2_noPostSNV,svm,0.659091,0.668396,0.588529
1,Pooled,SNV,4,42,4.000000,SNV,A2_noPostSNV,rbf_svm,0.613636,0.618400,0.537986
1,Pooled+BandShift,SNV,4,42,4.000000,SNV,A2_noPostSNV,rbf_svm,0.613636,0.632255,0.537415
1,Pooled,SG1,4,42,4.000000,SG1,A2_noPostSNV,svm,0.636364,0.655894,0.565432
1,Pooled+BandShift,SG1,4,42,4.000000,SG1,A2_noPostSNV,svm,0.500000,0.443672,0.397635
1,Pooled,SG1,4,42,4.000000,SG1,A2_noPostSNV,rbf_svm,0.613636,0.633038,0.537701
1,Pooled+BandShift,SG1,4,42,4.000000,SG1,A2_noPostSNV,rbf_svm,0.363636,0.372494,0.240444
1,Pooled,EMSC,4,42,4.000000,EMSC,A2_noPostSNV,svm,0.636364,0.654112,0.564626
1,Pooled+BandShift,EMSC,4,42,4.000000,EMSC,A2_noPostSNV,svm,0.613636,0.626954,0.537415
1,Pooled,EMSC,4,42,4.000000,EMSC,A2_noPostSNV,rbf_svm,0.522727,0.537419,0.428571
1,Pooled+BandShift,EMSC,4,42,4.000000,EMSC,A2_noPostSNV,rbf_svm,0.568182,0.600638,0.483313
1,Pooled,Detrend,4,42,4.000000,Detrend,A2_noPostSNV,svm,0.636364,0.655733,0.564895
1,Pooled+BandShift,Detrend,4,42,4.000000,Detrend,A2_noPostSNV,svm,0.636364,0.640873,0.562189
1,Pooled,Detrend,4,42,4.000000,Detrend,A2_noPostSNV,rbf_svm,0.568182,0.556218,0.483951
1,Pooled+BandShift,Detrend,4,42,4.000000,Detrend,A2_noPostSNV,rbf_svm,0.545455,0.582362,0.456455
1,Pooled,USP,5,43,0.000000,none,A_postSNV,svm,0.866667,0.870620,0.839572
1,Pooled+BandShift,USP,5,43,0.000000,none,A_postSNV,svm,0.844444,0.840623,0.813056
1,Pooled,USP,5,43,0.000000,none,A_postSNV,rbf_svm,0.733333,0.740079,0.680095
1,Pooled+BandShift,USP,5,43,0.000000,none,A_postSNV,rbf_svm,0.733333,0.739507,0.680095
1,Pooled,SNV,5,43,0.000000,SNV,A2_noPostSNV,svm,0.866667,0.870314,0.839572
1,Pooled+BandShift,SNV,5,43,0.000000,SNV,A2_noPostSNV,svm,0.800000,0.800010,0.759786
1,Pooled,SNV,5,43,0.000000,SNV,A2_noPostSNV,rbf_svm,0.844444,0.846098,0.813167
1,Pooled+BandShift,SNV,5,43,0.000000,SNV,A2_noPostSNV,rbf_svm,0.844444,0.846051,0.813056
1,Pooled,SG1,5,43,0.000000,SG1,A2_noPostSNV,svm,0.822222,0.828041,0.786350
1,Pooled+BandShift,SG1,5,43,0.000000,SG1,A2_noPostSNV,svm,0.355556,0.290847,0.225979
1,Pooled,SG1,5,43,0.000000,SG1,A2_noPostSNV,rbf_svm,0.844444,0.851483,0.813056
1,Pooled+BandShift,SG1,5,43,0.000000,SG1,A2_noPostSNV,rbf_svm,0.377778,0.373677,0.245509
1,Pooled,EMSC,5,43,0.000000,EMSC,A2_noPostSNV,svm,0.888889,0.893838,0.866627
1,Pooled+BandShift,EMSC,5,43,0.000000,EMSC,A2_noPostSNV,svm,0.755556,0.739589,0.705707
1,Pooled,EMSC,5,43,0.000000,EMSC,A2_noPostSNV,rbf_svm,0.800000,0.793951,0.760638
1,Pooled+BandShift,EMSC,5,43,0.000000,EMSC,A2_noPostSNV,rbf_svm,0.800000,0.809753,0.760497
1,Pooled,Detrend,5,43,0.000000,Detrend,A2_noPostSNV,svm,0.822222,0.831875,0.786350
1,Pooled+BandShift,Detrend,5,43,0.000000,Detrend,A2_noPostSNV,svm,0.688889,0.693442,0.626113
1,Pooled,Detrend,5,43,0.000000,Detrend,A2_noPostSNV,rbf_svm,0.844444,0.850794,0.813167
1,Pooled+BandShift,Detrend,5,43,0.000000,Detrend,A2_noPostSNV,rbf_svm,0.777778,0.784061,0.732779
1,Pooled,USP,6,43,1.000000,none,A_postSNV,svm,0.733333,0.736593,0.679335
1,Pooled+BandShift,USP,6,43,1.000000,none,A_postSNV,svm,0.711111,0.713067,0.652819
1,Pooled,USP,6,43,1.000000,none,A_postSNV,rbf_svm,0.555556,0.563761,0.468713
1,Pooled+BandShift,USP,6,43,1.000000,none,A_postSNV,rbf_svm,0.555556,0.563761,0.468713
1,Pooled,SNV,6,43,1.000000,SNV,A2_noPostSNV,svm,0.777778,0.768441,0.732620
1,Pooled+BandShift,SNV,6,43,1.000000,SNV,A2_noPostSNV,svm,0.733333,0.732540,0.680095
1,Pooled,SNV,6,43,1.000000,SNV,A2_noPostSNV,rbf_svm,0.755556,0.754197,0.706057
1,Pooled+BandShift,SNV,6,43,1.000000,SNV,A2_noPostSNV,rbf_svm,0.711111,0.706438,0.652406
1,Pooled,SG1,6,43,1.000000,SG1,A2_noPostSNV,svm,0.866667,0.865259,0.839763
1,Pooled+BandShift,SG1,6,43,1.000000,SG1,A2_noPostSNV,svm,0.511111,0.480808,0.409660
1,Pooled,SG1,6,43,1.000000,SG1,A2_noPostSNV,rbf_svm,0.666667,0.666367,0.600118
1,Pooled+BandShift,SG1,6,43,1.000000,SG1,A2_noPostSNV,rbf_svm,0.377778,0.330283,0.245509
1,Pooled,EMSC,6,43,1.000000,EMSC,A2_noPostSNV,svm,0.733333,0.732240,0.679905
